SourceFile,Time,GPSLatitude,GPSLongitude,GPSAltitude
dummies/IMG_0001.JPG,2025:09:17 10:34:05.218,14.643544,120.999003,0.0
dummies/IMG_0002.JPG,2025:09:17 10:34:05.428,14.643544,120.999003,0.0
dummies/IMG_0003.JPG,2025:09:17 10:34:05.639,14.643545,120.999003,0.0
dummies/IMG_0004.JPG,2025:09:17 10:34:05.845,14.643545,120.999003,0.0
dummies/IMG_0005.JPG,2025:09:17 10:34:06.46,14.643545,120.999003,0.0
dummies/IMG_0006.JPG,2025:09:17 10:34:06.250,14.643546,120.999003,0.0
dummies/IMG_0007.JPG,2025:09:17 10:34:06.452,14.643546,120.999003,0.0
dummies/IMG_0008.JPG,2025:09:17 10:34:06.653,14.643545,120.999003,0.0
dummies/IMG_0009.JPG,2025:09:17 10:34:06.855,14.643545,120.999003,0.0
dummies/IMG_0010.JPG,2025:09:17 10:34:07.57,14.643545,120.999003,0.0
dummies/IMG_0011.JPG,2025:09:17 10:34:07.264,14.643544,120.999003,0.0
dummies/IMG_0012.JPG,2025:09:17 10:34:07.465,14.643544,120.999003,0.0
dummies/IMG_0013.JPG,2025:09:17 10:34:07.669,14.643544,120.999003,0.0
dummies/IMG_0014.JPG,2025:09:17 10:34:07.870,14.643544,120.999003,0.0
dummies/IMG_0015.JPG,2025:09:17 10:34:08.88,14.643544,120.999002,0.0
dummies/IMG_0016.JPG,2025:09:17 10:34:08.289,14.643544,120.999002,0.0
dummies/IMG_0017.JPG,2025:09:17 10:34:08.498,14.643544,120.999002,0.0
dummies/IMG_0018.JPG,2025:09:17 10:34:08.699,14.643544,120.999002,0.0
dummies/IMG_0019.JPG,2025:09:17 10:34:08.906,14.643545,120.999002,0.0
dummies/IMG_0020.JPG,2025:09:17 10:34:09.109,14.643545,120.999002,0.0
dummies/IMG_0021.JPG,2025:09:17 10:34:09.311,14.643545,120.999002,0.0
dummies/IMG_0022.JPG,2025:09:17 10:34:09.513,14.643545,120.999002,0.0
dummies/IMG_0023.JPG,2025:09:17 10:34:09.720,14.643545,120.999002,0.0
dummies/IMG_0024.JPG,2025:09:17 10:34:09.921,14.643545,120.999002,0.0
dummies/IMG_0025.JPG,2025:09:17 10:34:10.128,14.643545,120.999002,0.0
dummies/IMG_0026.JPG,2025:09:17 10:34:10.335,14.643545,120.999002,0.0
dummies/IMG_0027.JPG,2025:09:17 10:34:10.544,14.643545,120.999002,0.0
dummies/IMG_0028.JPG,2025:09:17 10:34:10.745,14.643545,120.999002,0.0
